Currency,Current_Price,Old_Price,% inc or dec.
GameCredits,$1.16,$0.000010,11599900
Gnosis,$54.13,$0.000780,6939643.58974359
Altcoin,$19.67,$0.001186,1658416.02023609
DubaiCoin,$4.12,$0.001146,359411.343804538
Verge,$0.027599,$0.000008,344887.5
Credits,$0.353954,$0.000109,324628.440366972
PIVX,$2.74,$0.000995,275276.884422111
UniCoin,$0.204049,$0.000093,219307.52688172
Emercoin,$2.69,$0.001504,178756.382978723
EuropeCoin,$0.296081,$0.000279,106022.222222222
Nexus,$1.51,$0.001628,92651.8427518428
Qora,$0.319287,$0.000362,88100.8287292818
Fantasy Cash,$0.164278,$0.000199,82451.7587939698
MUSE,$0.755393,$0.000942,80090.3397027601
Pura,$0.125814,$0.000157,80036.3057324841
NEM,$0.205469,$0.000265,77435.4716981132
HempCoin,$0.063174,$0.000082,76941.4634146341
Sphere,$1.52,$0.001997,76014.1712568853
Dash,$258.28,$0.366146,70440.1670371928
Ethereum,$490.46,$0.729533,67129.3097090879
SaluS,$26.62,$0.044919,59162.2275651729
MedicCoin,$0.088391,$0.000157,56200
DigitalNote,$0.007100,$0.000013,54515.3846153846
PinkCoin,$0.016446,$0.000031,52951.6129032258
AvatarCoin,$0.036681,$0.000070,52301.4285714286
Pepe Cash,$0.021963,$0.000046,47645.652173913
Hexx,$9.19,$0.019437,47180.9589957298
TransferCoin,$0.576800,$0.001373,41910.1966496723
RussiaCoin,$0.170399,$0.000408,41664.4607843137
OKCash,$0.080507,$0.000201,39953.2338308458
EduCoin,$0.001847,$0.000005,36840
Siacoin,$0.012767,$0.000035,36377.1428571429
Nano,$2.62,$0.007578,34473.7661652151
ExclusiveCoin,$0.636559,$0.001855,34215.8490566038
Machinecoin,$0.029845,$0.000091,32696.7032967033
Dotcoin,$0.018113,$0.000059,30600
Rubycoin,$0.323473,$0.001132,28475.3533568905
MonetaryUnit,$0.084860,$0.000303,27906.600660066
Trollcoin,$0.000789,$0.000003,26200
NavCoin,$0.650793,$0.002664,24329.1666666667
Energycoin,$0.044175,$0.000187,23522.9946524064
vTorrent,$0.232513,$0.001006,23012.6242544732
ChainCoin,$0.099789,$0.000450,22075.3333333333
Blocknet,$16.99,$0.078200,21626.3427109974
SpreadCoin,$0.257822,$0.001302,19701.9969278034
Stratis,$3.23,$0.016344,19662.6040137053
Kobocoin,$0.050270,$0.000275,18180
MustangCoin,$0.197212,$0.001079,18177.2937905468
Groestlcoin,$0.733621,$0.004067,17938.3820998279
MetalCoin,$0.006311,$0.000035,17931.4285714286
Enigma,$1.33,$0.007539,17541.5970287837
AquariusCoin,$0.238967,$0.001367,17381.1265544989
